"";"idPartida";"id";"jogador";"equipe";"tipo";"tempo";"quarto";"placar";"posX";"posY";"msg";"X"
"NA.34";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.35";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.36";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.37";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.38";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.39";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.40";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.41";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.42";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.43";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.44";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.45";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.46";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.47";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.48";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.49";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.50";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.51";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.52";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.53";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.54";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.55";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.56";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.57";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.58";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.59";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.60";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.61";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.62";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.63";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.64";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.65";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.66";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.67";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.68";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.69";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.70";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.71";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.72";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.73";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.74";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.75";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.76";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.77";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.78";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.79";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.80";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.81";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.82";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.83";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.84";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.85";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1656";2239;654;78;3;"SBS";"00:10";4;"";NA;NA;"";NA
"1676";2239;634;78;3;"RED";"02:00";4;"";NA;NA;"";NA
"NA.86";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1692";2239;623;78;3;"SBE";"03:10";4;"";NA;NA;"";NA
"NA.87";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.88";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.89";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.90";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.91";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1760";2239;535;78;3;"FAC";"06:46";4;"";NA;NA;"";NA
"1762";2239;533;78;3;"A2E";"06:56";4;"";145;107;"";NA
"1766";2239;564;78;3;"SBS";"06:59";4;"";NA;NA;"";NA
"1768";2239;562;78;3;"FAT";"06:59";4;"";NA;NA;"";NA
"1770";2239;560;78;3;"FAO";"06:59";4;"";NA;NA;"";NA
"1785";2239;524;78;3;"SBE";"08:19";4;"";NA;NA;"";NA
"NA.92";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.93";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1847";2239;462;78;3;"SBS";"02:48";3;"";NA;NA;"";NA
"1858";2239;451;78;3;"RED";"04:32";3;"";NA;NA;"";NA
"NA.94";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1885";2239;424;78;3;"A2E";"05:54";3;"";78;144;"";NA
"1888";2239;421;78;3;"A2C";"06:28";3;"";115;73;"";NA
"1901";2239;408;78;3;"A3E";"09:47";3;"";108;223;"";NA
"1908";2239;401;78;3;"SBE";"10:00";3;"";NA;NA;"";NA
"1918";2239;391;78;3;"SBS";"10:00";3;"";NA;NA;"";NA
"1922";2239;387;78;3;"A2C";"06:57";2;"";355;179;"";NA
"1923";2239;386;78;3;"A2C";"06:57";2;"";395;64;"";NA
"1929";2239;380;78;3;"SBE";"06:57";2;"";NA;NA;"";NA
"1931";2239;378;78;3;"SBS";"06:57";2;"";NA;NA;"";NA
"1933";2239;376;78;3;"A2C";"06:57";2;"";343;130;"";NA
"1934";2239;375;78;3;"REO";"06:57";2;"";NA;NA;"";NA
"1936";2239;373;78;3;"A2C";"06:57";2;"";381;66;"";NA
"1947";2239;361;78;3;"FAC";"06:57";2;"";NA;NA;"";NA
"1958";2239;350;78;3;"RED";"06:57";2;"";NA;NA;"";NA
"1964";2239;344;78;3;"SBE";"06:57";2;"";NA;NA;"";NA
"2004";2239;302;78;3;"SBS";"10:00";2;"";NA;NA;"";NA
"NA.95";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2013";2239;293;78;3;"FAR";"00:00";1;"";NA;NA;"";NA
"NA.96";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2026";2239;280;78;3;"A2C";"00:00";1;"";374;168;"";NA
"2066";2239;240;78;3;"A2C";"07:10";1;"";330;151;"";NA
"NA.97";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.98";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2072";2239;233;78;3;"RED";"09:06";1;"";NA;NA;"";NA
"2081";2239;224;78;3;"SBE";"10:00";1;"";NA;NA;"";NA
"NA.99";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.100";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.101";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.102";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.103";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.104";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.105";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.106";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.107";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.108";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.109";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.110";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.111";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.112";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.113";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.114";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.115";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.116";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.117";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.118";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.119";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.120";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2950";2247;35;78;3;"SBE";"10:00";1;"";NA;NA;"";NA
"NA.121";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.122";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.123";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.124";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.125";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.126";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.127";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.128";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.129";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.130";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.131";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.132";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.133";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.134";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.135";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.136";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.137";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.138";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.139";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.140";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4445";2355;533;78;3;"SBS";"02:05";4;"";NA;NA;"";NA
"4447";2355;531;78;3;"FAC";"02:05";4;"";NA;NA;"";NA
"4452";2355;526;78;3;"ASS";"03:11";4;"";NA;NA;"";NA
"4462";2355;516;78;3;"SBE";"03:22";4;"";NA;NA;"";NA
"NA.141";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.142";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.143";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4576";2355;402;78;3;"SBS";"01:04";3;"";NA;NA;"";NA
"4580";2355;398;78;3;"A3C";"01:19";3;"";151;87;"";NA
"4582";2355;396;78;3;"RED";"01:39";3;"";NA;NA;"";NA
"4589";2355;389;78;3;"A2E";"02:17";3;"";56;137;"";NA
"4590";2355;388;78;3;"REO";"02:27";3;"";NA;NA;"";NA
"4601";2355;377;78;3;"VSQ";"03:23";3;"";NA;NA;"";NA
"4606";2355;372;78;3;"RED";"05:11";3;"";NA;NA;"";NA
"4619";2355;359;78;3;"LLC";"06:46";3;"";NA;NA;"";NA
"NA.144";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4624";2355;354;78;3;"A2C";"06:46";3;"";49;118;"";NA
"4625";2355;353;78;3;"FAR";"06:46";3;"";NA;NA;"";NA
"4627";2355;351;78;3;"REO";"06:46";3;"";NA;NA;"";NA
"4632";2355;346;78;3;"REO";"06:46";3;"";NA;NA;"";NA
"4633";2355;345;78;3;"A3E";"06:46";3;"";59;229;"";NA
"NA.145";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4665";2355;313;78;3;"RED";"08:05";3;"";NA;NA;"";NA
"4672";2355;306;78;3;"BOR";"08:47";3;"";NA;NA;"";NA
"4677";2355;301;78;3;"A2E";"09:09";3;"";94;125;"";NA
"4693";2355;285;78;3;"SBE";"10:00";3;"";NA;NA;"";NA
"4708";2355;270;78;3;"SBS";"10:00";3;"";NA;NA;"";NA
"4718";2355;210;78;3;"SBS";"10:00";3;"";NA;NA;"";NA
"4723";2355;265;78;3;"A3E";"00:04";2;"";300;155;"";NA
"4747";2355;241;78;3;"RED";"01:53";2;"";NA;NA;"";NA
"4753";2355;235;78;3;"REO";"02:21";2;"";NA;NA;"";NA
"NA.146";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4765";2355;223;78;3;"ERR";"03:05";2;"";NA;NA;"";NA
"4766";2355;222;78;3;"RED";"03:23";2;"";NA;NA;"";NA
"4772";2355;206;78;3;"A3E";"04:20";2;"";308;156;"";NA
"4799";2355;179;78;3;"REO";"04:40";2;"";NA;NA;"";NA
"4810";2355;168;78;3;"ERR";"05:24";2;"";NA;NA;"";NA
"4813";2355;165;78;3;"RED";"05:24";2;"";NA;NA;"";NA
"4817";2355;161;78;3;"SBE";"05:24";2;"";NA;NA;"";NA
"NA.147";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.148";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.149";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.150";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.151";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.152";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.153";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"5254";2358;488;78;3;"SBS";"02:21";4;"";NA;NA;"Sai G. Giovannoni";NA
"5261";2358;481;78;3;"A2C";"02:36";4;"";55;105;"G. Giovannoni acerta arremesso de dois pontos.";NA
"5268";2358;474;78;3;"A2C";"03:35";4;"";75;191;"G. Giovannoni acerta arremesso de dois pontos.";NA
"5277";2358;465;78;3;"VVC";"04:07";4;"";NA;NA;"G. Giovannoni comete violação de volta de quadra.";NA
"5279";2358;463;78;3;"RED";"05:35";4;"";NA;NA;"G. Giovannoni pega rebote defensivo.";NA
"NA.154";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"5300";2358;441;78;3;"A2C";"07:09";4;"";56;46;"G. Giovannoni acerta arremesso de dois pontos.";NA
"5303";2358;438;78;3;"A2C";"07:09";4;"";88;132;"G. Giovannoni acerta arremesso de dois pontos.";NA
"NA.155";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"5318";2358;423;78;3;"SBE";"08:09";4;"";NA;NA;"Entra G. Giovannoni";NA
"NA.156";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.157";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.158";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.159";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"5412";2358;329;78;3;"SBS";"03:27";3;"";NA;NA;"Sai G. Giovannoni";NA
"NA.160";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"5441";2358;300;78;3;"A3E";"05:23";3;"";170;109;"";NA
"5449";2358;294;78;3;"LLC";"05:55";3;"";NA;NA;"G. Giovannoni acerta o lance livre.";NA
"5450";2358;293;78;3;"LLC";"05:55";3;"";NA;NA;"G. Giovannoni acerta o lance livre.";NA
"5451";2358;292;78;3;"FAR";"05:55";3;"";NA;NA;"G. Giovannoni sofre falta.";NA
"5454";2358;287;78;3;"ERR";"06:01";3;"";NA;NA;"";NA
"NA.161";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"5479";2358;262;78;3;"A3E";"08:49";3;"";167;191;"";NA
"5494";2358;247;78;3;"SBE";"10:00";3;"";NA;NA;"Entra G. Giovannoni";NA
"5504";2358;237;78;3;"SBS";"10:00";3;"";NA;NA;"Sai G. Giovannoni";NA
"NA.162";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"5536";2358;204;78;3;"A3C";"03:02";2;"";339;35;"É de três! G. Giovannoni acerta arremesso de três pontos.";NA
"NA.163";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.164";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.165";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"5552";2358;188;78;3;"A2E";"05:21";2;"";367;198;"G. Giovannoni erra tentativa para dois pontos.";NA
"NA.166";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"5561";2358;179;78;3;"FAR";"05:54";2;"";NA;NA;"G. Giovannoni sofre falta.";NA
"NA.167";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"5564";2358;176;78;3;"A3E";"06:05";2;"";306;167;"";NA
"5565";2358;175;78;3;"SBE";"06:11";2;"";NA;NA;"Entra G. Giovannoni";NA
"5640";2358;100;78;3;"SBS";"01:41";1;"";NA;NA;"Sai G. Giovannoni";NA
"NA.168";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"5645";2358;95;78;3;"ERR";"01:41";1;"";NA;NA;"";NA
"5650";2358;90;78;3;"RED";"02:30";1;"";NA;NA;"G. Giovannoni pega rebote defensivo.";NA
"NA.169";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.170";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"5684";2358;56;78;3;"ERR";"05:15";1;"";NA;NA;"";NA
"5697";2358;43;78;3;"RED";"06:23";1;"";NA;NA;"G. Giovannoni pega rebote defensivo.";NA
"NA.171";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.172";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"5713";2358;27;78;3;"A2E";"07:40";1;"";350;151;"G. Giovannoni erra tentativa para dois pontos.";NA
"5714";2358;26;78;3;"RED";"07:47";1;"";NA;NA;"G. Giovannoni pega rebote defensivo.";NA
"5718";2358;22;78;3;"A2C";"08:09";1;"";353;119;"G. Giovannoni acerta arremesso de dois pontos.";NA
"5721";2358;19;78;3;"RED";"08:46";1;"";NA;NA;"G. Giovannoni pega rebote defensivo.";NA
"5723";2358;17;78;3;"A2C";"08:55";1;"";386;107;"G. Giovannoni acerta arremesso de dois pontos.";NA
"5726";2358;14;78;3;"A3E";"09:12";1;"";375;225;"";NA
"5736";2358;4;78;3;"SBE";"10:00";1;"";NA;NA;"Entra G. Giovannoni";NA
"NA.173";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.174";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.175";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.176";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.177";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.178";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.179";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.180";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.181";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.182";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.183";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.184";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.185";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.186";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"6582";2366;1001;78;3;"SBS";"04:34";4;"";NA;NA;"Sai G. Giovannoni";NA
"6597";2366;986;78;3;"A3C";"05:36";4;"";145;192;"É de três! G. Giovannoni acerta arremesso de três pontos.";NA
"NA.187";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"6628";2366;955;78;3;"A2E";"08:17";4;"";62;134;"G. Giovannoni erra tentativa para dois pontos.";NA
"6629";2366;954;78;3;"BOR";"08:22";4;"";NA;NA;"G. Giovannoni recupera a bola.";NA
"6641";2366;942;78;3;"ASS";"08:57";4;"";NA;NA;"Assistência do G. Giovannoni";NA
"6648";2366;935;78;3;"A2C";"09:48";4;"";55;130;"G. Giovannoni acerta arremesso de dois pontos.";NA
"6658";2366;925;78;3;"SBE";"10:00";4;"";NA;NA;"Entra G. Giovannoni";NA
"6669";2366;914;78;3;"SBS";"10:00";4;"";NA;NA;"Sai G. Giovannoni";NA
"NA.188";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.189";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"6682";2366;901;78;3;"A3E";"00:48";3;"";152;176;"G. Giovannoni erra tentativa para três pontos.";NA
"NA.190";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"6690";2366;893;78;3;"SBE";"01:32";3;"";NA;NA;"Entra G. Giovannoni";NA
"NA.191";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"6742";2366;838;78;3;"SBS";"04:36";3;"";NA;NA;"Sai G. Giovannoni";NA
"6790";2366;788;78;3;"REO";"07:54";3;"";NA;NA;"G. Giovannoni pega rebote ofensivo.";NA
"6809";2366;769;78;3;"SBE";"10:00";3;"";NA;NA;"Entra G. Giovannoni";NA
"6820";2366;758;78;3;"SBS";"10:00";3;"";NA;NA;"Sai G. Giovannoni";NA
"6822";2366;756;78;3;"A2C";"00:01";2;"";363;146;"G. Giovannoni acerta arremesso de dois pontos.";NA
"NA.192";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"6832";2366;746;78;3;"A3C";"00:36";2;"";399;228;"É de três! G. Giovannoni acerta arremesso de três pontos.";NA
"NA.193";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"6846";2366;732;78;3;"FAR";"02:44";2;"";NA;NA;"G. Giovannoni sofre falta.";NA
"6848";2366;730;78;3;"RED";"02:44";2;"";NA;NA;"G. Giovannoni pega rebote defensivo.";NA
"6856";2366;722;78;3;"A2C";"03:21";2;"";348;67;"G. Giovannoni acerta arremesso de dois pontos.";NA
"6872";2366;706;78;3;"REO";"04:55";2;"";NA;NA;"G. Giovannoni pega rebote ofensivo.";NA
"6873";2366;705;78;3;"A2E";"04:55";2;"";371;185;"G. Giovannoni erra tentativa para dois pontos.";NA
"6877";2366;700;78;3;"A3C";"05:43";2;"";292;131;"É de três! G. Giovannoni acerta arremesso de três pontos.";NA
"6883";2366;694;78;3;"SBE";"06:19";2;"";NA;NA;"Entra G. Giovannoni";NA
"NA.194";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"6991";2366;586;78;3;"SBS";"03:02";1;"";NA;NA;"Sai G. Giovannoni";NA
"6994";2366;583;78;3;"A2E";"03:11";1;"";380;142;"G. Giovannoni erra tentativa para dois pontos.";NA
"6995";2366;582;78;3;"RED";"03:30";1;"";NA;NA;"G. Giovannoni pega rebote defensivo.";NA
"7014";2366;563;78;3;"ASS";"06:17";1;"";NA;NA;"Assistência do G. Giovannoni";NA
